year,word,frequency
1900,angelfish,0.003158
1900,bannerfish,1.5e-05
1900,blenny,0.052464
1900,butterflyfish,0.000232
1900,damselfish,0.0
1900,filefish,0.007565
1900,frogfish,0.000979
1900,goatfish,0.001276
1900,lionfish,8.1e-05
1900,lizardfish,5.5e-05
1900,needlefish,0.000704
1900,parrotfish,0.002984
1900,pipefish,0.012271
1900,porcupinefish,0.000168
1900,rabbitfish,0.000177
1900,scorpionfish,0.000312
1900,sharksucker,0.00057
1900,soldierfish,3e-06
1900,squirrelfish,0.000628
1900,surgeonfish,8e-06
1900,triggerfish,0.000677
1900,trumpetfish,7.8e-05
1900,wrasse,0.025804
1901,angelfish,0.003526
1901,bannerfish,2.2e-05
1901,blenny,0.052168
1901,butterflyfish,0.000244
1901,damselfish,1e-06
1901,filefish,0.007219
1901,frogfish,0.000922
1901,goatfish,0.00166
1901,lionfish,7.7e-05
1901,lizardfish,9.3e-05
1901,needlefish,0.001083
1901,parrotfish,0.003153
1901,pipefish,0.011123
1901,porcupinefish,0.000116
1901,rabbitfish,0.00023
1901,scorpionfish,0.000366
1901,sharksucker,0.001107
1901,soldierfish,7e-06
1901,squirrelfish,0.000648
1901,surgeonfish,1.4e-05
1901,triggerfish,0.001223
1901,trumpetfish,0.000134
1901,wrasse,0.024876
1902,angelfish,0.003805
1902,bannerfish,2.5e-05
1902,blenny,0.052741
1902,butterflyfish,0.000274
1902,damselfish,6e-06
1902,filefish,0.006951
1902,frogfish,0.000899
1902,goatfish,0.002296
1902,lionfish,6.4e-05
1902,lizardfish,0.000162
1902,needlefish,0.001586
1902,parrotfish,0.003074
1902,pipefish,0.01167
1902,porcupinefish,6.5e-05
1902,rabbitfish,0.000278
1902,scorpionfish,0.000377
1902,sharksucker,0.001717
1902,soldierfish,1.9e-05
1902,squirrelfish,0.00058
1902,surgeonfish,3.5e-05
1902,triggerfish,0.001896
1902,trumpetfish,0.000224
1902,wrasse,0.024841
1903,angelfish,0.003838
1903,bannerfish,2.2e-05
1903,blenny,0.053543
1903,butterflyfish,0.000321
1903,damselfish,1.8e-05
1903,filefish,0.006851
1903,frogfish,0.000971
1903,goatfish,0.003149
1903,hawkfish,0.0
1903,lionfish,5.4e-05
1903,lizardfish,0.000252
1903,needlefish,0.002094
1903,parrotfish,0.002742
1903,pipefish,0.013984
1903,porcupinefish,3.6e-05
1903,rabbitfish,0.000298
1903,scorpionfish,0.000368
1903,sharksucker,0.002129
1903,soldierfish,3.9e-05
1903,squirrelfish,0.000483
1903,surgeonfish,7.5e-05
1903,triggerfish,0.002424
1903,trumpetfish,0.000317
1903,wrasse,0.025362
1904,angelfish,0.003574
1904,bannerfish,1.5e-05
1904,blenny,0.053654
1904,butterflyfish,0.000357
1904,damselfish,4.5e-05
1904,filefish,0.006732
1904,frogfish,0.001108
1904,goatfish,0.00417
1904,hawkfish,2e-06
1904,lionfish,5.4e-05
1904,lizardfish,0.000335
1904,needlefish,0.002501
1904,parrotfish,0.002264
1904,pipefish,0.017444
1904,porcupinefish,3e-05
1904,rabbitfish,0.000287
1904,scorpionfish,0.00038
1904,sharksucker,0.002111
1904,soldierfish,6.5e-05
1904,squirrelfish,0.000406
1904,surgeonfish,0.000137
1904,triggerfish,0.002546
1904,trumpetfish,0.000373
1904,wrasse,0.025683
1905,angelfish,0.003104
1905,bannerfish,8e-06
1905,blenny,0.052314
1905,butterflyfish,0.000361
1905,damselfish,8.7e-05
1905,filefish,0.006387
1905,frogfish,0.001224
1905,goatfish,0.00513
1905,hawkfish,6e-06
1905,lionfish,6.8e-05
1905,lizardfish,0.000375
1905,needlefish,0.002777
1905,parrotfish,0.001819
1905,pipefish,0.020601
1905,porcupinefish,4.3e-05
1905,rabbitfish,0.000253
1905,scorpionfish,0.000439
1905,sharksucker,0.001679
1905,soldierfish,8.9e-05
1905,squirrelfish,0.000354
1905,surgeonfish,0.000207
1905,triggerfish,0.002259
1905,trumpetfish,0.00037
1905,wrasse,0.025083
1906,angelfish,0.002584
1906,bannerfish,3e-06
1906,blenny,0.049197
1906,butterflyfish,0.000335
1906,damselfish,0.000132
1906,filefish,0.005761
1906,frogfish,0.001256
1906,goatfish,0.005667
1906,hawkfish,1.4e-05
1906,lionfish,9.2e-05
1906,lizardfish,0.000358
1906,needlefish,0.002933
1906,parrotfish,0.001543
1906,pipefish,0.021827
1906,porcupinefish,6.1e-05
1906,rabbitfish,0.000217
1906,scorpionfish,0.000522
1906,sharksucker,0.001083
1906,soldierfish,0.000104
1906,squirrelfish,0.000305
1906,surgeonfish,0.000264
1906,triggerfish,0.001813
1906,trumpetfish,0.000319
1906,wrasse,0.023374
1907,angelfish,0.002158
1907,bannerfish,1e-06
1907,blenny,0.044651
1907,butterflyfish,0.000301
1907,damselfish,0.00016
1907,filefish,0.00498
1907,frogfish,0.001218
1907,goatfish,0.005513
1907,hawkfish,2.9e-05
1907,lionfish,0.000125
1907,lizardfish,0.000293
1907,needlefish,0.002982
1907,parrotfish,0.001463
1907,pipefish,0.020595
1907,porcupinefish,7.6e-05
1907,rabbitfish,0.000189
1907,scorpionfish,0.000559
1907,sharksucker,0.000589
1907,soldierfish,0.000106
1907,squirrelfish,0.00025
1907,surgeonfish,0.000295
1907,triggerfish,0.001478
1907,trumpetfish,0.000254
1907,wrasse,0.021168
1908,angelfish,0.001935
1908,bannerfish,0.0
1908,blenny,0.039793
1908,butterflyfish,0.000273
1908,damselfish,0.000158
1908,filefish,0.004257
1908,frogfish,0.001159
1908,goatfish,0.004732
1908,hawkfish,4.9e-05
1908,lionfish,0.000158
1908,lizardfish,0.000208
1908,needlefish,0.002914
1908,parrotfish,0.001501
1908,pipefish,0.018049
1908,porcupinefish,7.7e-05
1908,rabbitfish,0.000168
1908,scorpionfish,0.000505
1908,sharksucker,0.000305
1908,soldierfish,9.6e-05
1908,squirrelfish,0.000198
1908,surgeonfish,0.000305
1908,triggerfish,0.001339
1908,trumpetfish,0.000206
1908,wrasse,0.019455
1909,angelfish,0.001965
1909,blenny,0.035689
1909,butterflyfish,0.000255
1909,damselfish,0.00013
1909,filefish,0.003821
1909,frogfish,0.001108
1909,goatfish,0.003691
1909,hawkfish,7.6e-05
