location,year,severity
"Australia, Coral Sea Northern",1998,S 
"Australia, Coral Sea Northern",2002,S 
"Australia, Coral Sea Northern",2004,M 
"Australia, Coral Sea Northern",2016,S 
"Australia, Coral Sea Southern",2016,M 
"Australia, GBR Central",1980,M 
"Australia, GBR Central",1983,M 
"Australia, GBR Central",1987,M 
"Australia, GBR Central",1992,M 
"Australia, GBR Central",1994,M 
"Australia, GBR Central",1998,S 
"Australia, GBR Central",2002,S 
"Australia, GBR Central",2016,S 
"Australia, GBR Northern",1980,M 
"Australia, GBR Northern",1983,M 
"Australia, GBR Northern",1998,S 
"Australia, GBR Northern",2002,S 
"Australia, GBR Northern",2016,S 
"Australia, GBR Southern",1998,S 
"Australia, GBR Southern",2002,S 
"Australia, GBR Southern",2006,M 
"Australia, GBR Southern",2016,M 
"Australia, Kimberly Coast",2016,S 
"Australia, Lord Howe Island",2005,M 
"Australia, Lord Howe Island",2010,S 
"Australia, Lord Howe Island",2011,M 
"Australia, Lord Howe Island",2012,M 
"Australia, Lord Howe Island",2014,M 
"Australia, Morton Bay",2007,M 
"Australia, Morton Bay",2010,M 
"Australia, Morton Bay",2012,M 
"Australia, Morton Bay",2013,M 
"Australia, Morton Bay",2016,M 
"Australia, Ningaloo Reef",2011,S 
"Australia, Ningaloo Reef",2016,M 
"Australia, Pilbara (Dampier, Montebello, Onslow) ",2011,S 
"Australia, Pilbara (Dampier, Montebello, Onslow) ",2013,S 
"Australia, Pilbara (Dampier, Montebello, Onslow) ",2014,M 
"Australia, Solitary Island",1998,S 
"Australia, Solitary Island",2001,M 
"Australia, Solitary Island",2002,M 
"Australia, Solitary Island",2005,M 
"Australia, Solitary Island",2006,M 
"Australia, Solitary Island",2007,M 
"Australia, Solitary Island",2015,M 
"Australia, Solitary Island",2016,S 
"Australia, South West Rocks",1985,c
"Australia, South West Rocks",2005,M 
"Australia, South West Rocks",2016,S 
"Australia, Southwest (Shark Bay, Abrohlos, Rottnest) ",2011,S 
"Australia, Torres Strait ",2010,S 
"Australia, Torres Strait ",2016,S 
"Indonesia, Aceh ",2010,S 
"Indonesia, Aceh ",2016,S 
"Indonesia, Bali/Lombok ",1993,S 
"Indonesia, Bali/Lombok ",1998,S 
"Indonesia, Bali/Lombok ",2009,M 
"Indonesia, Bali/Lombok ",2010,S 
"Indonesia, Bali/Lombok ",2016,S 
"Indonesia, Central Sulawesi ",1998,S 
"Indonesia, Central Sulawesi ",2010,S 
"Indonesia, Central Sulawesi ",2016,M 
"Indonesia, Java ",1983,S 
"Indonesia, Java ",1998,S 
"Indonesia, Java ",2010,S 
"Indonesia, Java ",2016,S 
"Indonesia, Kalimantan ",1998,S 
"Indonesia, Kalimantan ",2010,M 
"Indonesia, Kalimantan ",2016,S 
"Indonesia, North Sulawesi/Manado",1998,S 
"Indonesia, North Sulawesi/Manado",2000,S
"Indonesia, North Sulawesi/Manado",2010,S
"Indonesia, North Sulawesi/Manado",2016,S
"Indonesia, South Sulawesi",2010,S
"Indonesia, South Sulawesi",2016,S
"Indonesia, South-East Sulawesi/Wakatobi",1998,M
"Indonesia, South-East Sulawesi/Wakatobi",2010,S
"Indonesia, South-East Sulawesi/Wakatobi",2016,S
"Indonesia, West/South Sumatra",1998,S
"Indonesia, West/South Sumatra",2010,S
"Indonesia, West/South Sumatra",2016,S
