year,num_new_certifications
1967,3226
1968,8442
1969,12168
1970,23736
1971,36490
1972,51842
1973,60120
1974,49834
1975,61244
1976,66609
1977,69771
1978,86187
1979,95193
1980,107404
1981,124365
1982,141429
1983,168778
1984,203001
1985,240384
1986,277378
1987,315468
1988,350000
1989,387767
1990,440418
1991,456046
1992,529463
1993,564672
1994,625487
1995,680263
1996,717973
1997,743763
1998,775735
1999,799696
2000,852702
2001,907171
2002,896977
2003,907722
2004,954049
2005,927529
2006,936579
2007,952716
2008,952097
2009,897401
2010,924300
2011,929200
