year,word,frequency
1900,baboon,0.50052
1900,marmoset,0.09832
1900,primate,1.652149
1900,rhesus,0.110651
1901,baboon,0.505336
1901,marmoset,0.097613
1901,primate,1.635088
1901,rhesus,0.109384
1902,baboon,0.506411
1902,marmoset,0.094865
1902,primate,1.621682
1902,rhesus,0.112826
1903,baboon,0.498154
1903,marmoset,0.089392
1903,primate,1.607179
1903,rhesus,0.117077
1904,baboon,0.480895
1904,marmoset,0.081854
1904,primate,1.581517
1904,rhesus,0.120322
1905,baboon,0.459984
1905,marmoset,0.073752
1905,primate,1.54087
1905,rhesus,0.123211
1906,baboon,0.441347
1906,marmoset,0.067046
1906,primate,1.489352
1906,rhesus,0.127566
1907,baboon,0.429331
1907,marmoset,0.063499
1907,primate,1.433619
1907,rhesus,0.136053
1908,baboon,0.425627
1908,marmoset,0.063793
1908,primate,1.379269
1908,rhesus,0.155357
1909,baboon,0.428486
1909,marmoset,0.066797
1909,primate,1.33113
1909,rhesus,0.192463
1910,baboon,0.431471
1910,marmoset,0.06989
1910,primate,1.290484
1910,rhesus,0.245993
1911,baboon,0.426583
1911,marmoset,0.070402
1911,primate,1.250337
1911,rhesus,0.300553
1912,baboon,0.4096
1912,marmoset,0.067371
1912,primate,1.201617
1912,rhesus,0.334191
1913,baboon,0.382439
1913,marmoset,0.061923
1913,primate,1.141495
1913,rhesus,0.335941
1914,baboon,0.350425
1914,marmoset,0.055919
1914,primate,1.076804
1914,rhesus,0.313472
1915,baboon,0.320374
1915,marmoset,0.050834
1915,primate,1.017297
1915,rhesus,0.283752
1916,baboon,0.299601
1916,marmoset,0.047838
1916,primate,0.970865
1916,rhesus,0.258063
1917,baboon,0.293123
1917,marmoset,0.047814
1917,primate,0.943532
1917,rhesus,0.237883
1918,baboon,0.300427
1918,marmoset,0.050754
1918,primate,0.939872
1918,rhesus,0.220308
1919,baboon,0.315856
1919,marmoset,0.05512
1919,primate,0.956147
1919,rhesus,0.202942
1920,baboon,0.332993
1920,marmoset,0.058818
1920,primate,0.981131
1920,rhesus,0.185313
1921,baboon,0.350194
1921,marmoset,0.061115
1921,primate,1.005682
1921,rhesus,0.168008
1922,baboon,0.37031
1922,marmoset,0.063106
1922,primate,1.031322
1922,rhesus,0.154491
1923,baboon,0.396563
1923,marmoset,0.066923
1923,primate,1.065893
1923,rhesus,0.152214
1924,baboon,0.42841
1924,marmoset,0.073945
1924,primate,1.112946
1924,rhesus,0.169594
1925,baboon,0.460548
1925,marmoset,0.083686
1925,primate,1.167758
1925,rhesus,0.210484
1926,baboon,0.487566
1926,marmoset,0.093533
1926,primate,1.223494
1926,rhesus,0.268815
1927,baboon,0.507597
1927,marmoset,0.10021
1927,primate,1.275804
1927,rhesus,0.331023
1928,baboon,0.524079
1928,marmoset,0.102045
1928,primate,1.32143
1928,rhesus,0.383006
1929,baboon,0.541587
1929,marmoset,0.100049
1929,primate,1.357965
1929,rhesus,0.419617
1930,baboon,0.560462
1930,marmoset,0.097109
1930,primate,1.389614
1930,rhesus,0.443073
1931,baboon,0.576203
1931,marmoset,0.095512
1931,primate,1.423765
1931,rhesus,0.456831
1932,baboon,0.583599
1932,marmoset,0.096065
1932,primate,1.460743
