year,primates,dogs,cats,rabbits,guinea_pigs,hamsters
1973,42298,195157,66195,447570,408970,454986
1974,51253,199204,74259,425585,430439,430766
1975,36202,154489,51439,448530,436446,456031
1976,50115,210330,70468,527551,486310,503590
1977,53116,176430,62311,439003,348741,393533
1978,57009,197010,65929,475162,419341,414394
1979,59359,211104,69103,539594,457134,419504
1980,56024,188783,68482,471297,422390,405826
1981,57515,188649,58090,473922,432632,397522
1982,46388,161396,49923,453506,459246,337790
1983,54926,174542,53344,466810,485048,337023
1984,55338,201936,56910,529101,561184,437123
1985,57271,194905,59211,544621,598903,414460
1986,48540,176141,54125,521773,462699,370655
1987,61392,180169,50145,554385,538998,416002
1988,51641,140471,42271,459254,431457,331945
1989,51688,156443,50812,471037,481712,389042
1990,47177,109992,33700,399264,352627,311068
1991,42620,107908,34613,396046,378582,304207
1992,55105,124161,38592,431432,375063,369585
1993,49561,106191,33991,426501,392138,318268
1994,55113,101090,32610,393751,360184,298934
1995,50206,89420,29569,354076,333379,248402
1996,52327,82420,26035,338574,299011,246415
1997,56381,75429,26091,309322,272797,217079
1998,57377,76071,24712,287523,261305,206243
1999,54927,70541,23238,280222,266129,201593
2000,57518,69516,25560,258754,505009,174146
2001,49382,70082,22755,267351,256193,167231
2002,52279,68256,24222,243838,245576,180000
2003,53586,67875,25997,236250,260809,177991
2004,54998,64932,23640,261573,244104,175721
2005,57531,66610,22921,245786,221286,176988
2006,62315,66314,21637,239720,204809,167571
2007,69990,72037,22687,236511,207257,172498
2008,71256,70305,20305,234808,227629,153607
2009,70444,67337,20160,222167,203098,150051
2010,71317,64930,21578,210172,213029,145895
2011,68922,64805,21712,197425,211791,145595
2012,64523,64247,22531,186766,204211,137314
2013,64107,67772,24221,169645,190881,136850
2014,57735,59358,21083,150344,169528,121930
2015,61950,61101,19932,138348,172864,98420
2016,71001,60903,18975,140725,181257,101025
2017,74498,61422,17986,129143,187283,101464
2018,70797,59401,18619,133634,171406,80539
2019,68257,58511,18270,142472,181993,98296
