year,word,frequency
1900,bedbug,0.102345
1900,condor,0.609499
1900,flea,1.829821
1900,fly,16.505119
1900,hawk,7.507158
1900,louse,3.929626
1900,mosquito,7.117146
1900,osprey,0.49601
1900,peregrine,0.898576
1900,robin,6.92443
1900,sparrowhawk,0.053519
1901,bedbug,0.108708
1901,condor,0.615142
1901,flea,1.84002
1901,fly,16.596178
1901,hawk,7.467056
1901,louse,3.935472
1901,mosquito,8.037493
1901,osprey,0.450347
1901,peregrine,0.902709
1901,robin,7.131449
1901,sparrowhawk,0.051566
1902,bedbug,0.117623
1902,condor,0.597672
1902,flea,1.861189
1902,fly,16.723654
1902,hawk,7.408622
1902,louse,3.944362
1902,mosquito,8.662904
1902,osprey,0.413072
1902,peregrine,0.86508
1902,robin,7.320529
1902,sparrowhawk,0.05169
1903,bedbug,0.127964
1903,condor,0.567296
1903,flea,1.906172
1903,fly,16.885941
1903,hawk,7.338779
1903,louse,3.949266
1903,mosquito,8.956088
1903,osprey,0.390549
1903,peregrine,0.805075
1903,robin,7.422899
1903,sparrowhawk,0.053436
1904,bedbug,0.139373
1904,condor,0.537744
1904,flea,1.989103
1904,fly,17.082295
1904,hawk,7.266884
1904,louse,3.948815
1904,mosquito,8.969696
1904,osprey,0.379838
1904,peregrine,0.744476
1904,robin,7.403327
1904,sparrowhawk,0.055357
1905,bedbug,0.151435
1905,condor,0.52329
1905,flea,2.117504
1905,fly,17.331642
1905,hawk,7.204769
1905,louse,3.944101
1905,mosquito,8.778997
1905,osprey,0.374843
1905,peregrine,0.695046
1905,robin,7.274846
1905,sparrowhawk,0.056272
1906,bedbug,0.163708
1906,condor,0.531382
1906,flea,2.291264
1906,fly,17.689231
1906,hawk,7.157092
1906,louse,3.941865
1906,mosquito,8.466081
1906,osprey,0.367894
1906,peregrine,0.653238
1906,robin,7.076904
1906,sparrowhawk,0.056106
1907,bedbug,0.175843
1907,condor,0.558103
1907,flea,2.496005
1907,fly,18.211619
1907,hawk,7.10956
